City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Faridkot,IN,86.59,overcast clouds,30.6667,74.75,Sangam Hotel
522,Tura,IN,85.14,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
527,Qiryat Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
531,Kashary,RU,80.51,clear sky,49.04,41.0056,Гостиница N 1
539,Jalu,LY,78.33,clear sky,29.0331,21.5482,صاحبة الفخامة
549,Sao Filipe,CV,78.66,light rain,14.8961,-24.4956,Hotel Xaguate
550,Banda Aceh,ID,86.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
562,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
565,Rosetta,EG,78.57,clear sky,31.4044,30.4164,Green Valley
566,Sitges,ES,83.25,scattered clouds,41.2351,1.8119,URH Sitges Playa
567,Lardos,GR,77.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
573,Nishihara,JP,89.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
575,Hovd,MN,81.1,clear sky,48.0056,91.6419,Hotel Khovd
576,Akyab,MM,80.51,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
578,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
581,Salme,NP,79.09,clear sky,28.0369,85.0942,Shyam b tamang
585,Pangody,RU,81.03,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
588,Alyangula,AU,79.81,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
589,Klamath Falls,US,78.71,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
591,Champerico,GT,79.84,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
592,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
593,Cochrane,CA,76.24,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
598,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
599,Kalmunai,LK,86.88,overcast clouds,7.4167,81.8167,VS Villa
600,Shenyang,CN,80.62,clear sky,41.7922,123.4328,DoubleTree by Hilton Hotel Shenyang
601,Tabuk,PH,80.02,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
602,Salalah,OM,75.29,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
604,Carutapera,BR,75.04,scattered clouds,-1.195,-46.02,Lidera
605,Shahrud,IR,81.16,scattered clouds,36.4182,54.9763,Royal Hotel
611,Balkhash,KZ,81.21,clear sky,46.844,74.9804,Family
612,Cairns,AU,80.55,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
613,Madison,US,75.78,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
615,Port Said,EG,76.98,clear sky,31.2565,32.2841,Aracan Hotel
620,Ternate,ID,82.18,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
621,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
623,Datong,CN,75.65,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
