Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Tymovskoye,RU,50.8456,142.655,61.25,99,100,7.45,heavy intensity rain
320,Samarinda,ID,-0.5,117.15,87.78,55,90,4.25,overcast clouds
321,Masvingo,ZW,-20.0637,30.8277,54.79,35,0,5.1,clear sky
322,Ilhabela,BR,-23.7781,-45.3581,68.14,93,100,2.91,light rain
323,Nemuro,JP,43.3236,145.575,67.06,98,100,17.92,overcast clouds
324,Saint-Augustin,CA,51.226,-58.6502,55.92,65,6,16.4,clear sky
325,Mtwara,TZ,-10.2667,40.1833,69.13,94,75,13.8,broken clouds
326,Kuytun,RU,54.3419,101.5036,69.66,48,0,2.48,clear sky
327,Manono,CD,-7.3,27.4167,69.51,34,0,4.59,clear sky
328,Lensk,RU,60.7253,114.9278,59.67,70,100,3.56,light rain
329,Itoman,JP,26.1247,127.6694,90.37,66,40,11.5,scattered clouds
330,Husavik,IS,66.0449,-17.3389,48.47,80,14,13.73,few clouds
331,Aquiraz,BR,-3.9014,-38.3911,79.18,83,14,12.82,few clouds
332,Brae,GB,60.3964,-1.353,55.56,95,99,14.38,overcast clouds
333,Ban Dung,TH,17.699,103.2596,84.99,77,100,5.88,overcast clouds
334,Sirsi,IN,14.6167,74.85,70.88,97,100,11.25,light rain
335,Wencheng,CN,33.0559,113.7978,97.05,50,90,11.88,overcast clouds
336,Cafarnaum,BR,-11.6936,-41.4683,60.73,91,6,9.51,clear sky
337,Mackay,AU,-21.15,149.2,75.69,60,0,14.58,clear sky
338,Mabaruma,GY,8.2,-59.7833,74.37,94,49,2.35,scattered clouds
339,El Tocuyo,VE,9.7873,-69.7937,70.41,93,24,5.86,few clouds
340,Neuenhagen,DE,52.5299,13.6891,63.77,67,5,2.1,clear sky
341,Kemijarvi,FI,66.7131,27.4306,50.54,88,97,3.56,overcast clouds
342,Andrews,US,32.3187,-102.5457,87.06,34,0,5.75,clear sky
343,Frolovo,RU,49.7713,43.6622,82.0,28,42,6.82,scattered clouds
